,fecha,sistema,dmin,dmax
360,30/06/2006,SIC,3911.96,5515.55
361,30/06/2006,SING,1374.14,1614.46
362,01/07/2006,SIC,3882.76,5202.54
363,01/07/2006,SING,1104.87,1230.72
364,02/07/2006,SIC,3422.77,5027.67
365,02/07/2006,SING,1087.66,1221.01
366,03/07/2006,SIC,3585.97,5294.64
367,03/07/2006,SING,911.73,1003.01
368,04/07/2006,SIC,3856.75,5218.27
369,04/07/2006,SING,922.87,1208.23
370,05/07/2006,SIC,3777.48,5289.65
371,05/07/2006,SING,1111.38,1225.55
372,06/07/2006,SIC,3763.88,5340.02
373,06/07/2006,SING,1101.55,1218.9
374,07/07/2006,SIC,3890.3,5391.0
375,07/07/2006,SING,1181.05,1264.3
376,08/07/2006,SIC,3786.65,5240.9
377,08/07/2006,SING,1123.96,1259.4
378,09/07/2006,SIC,3433.61,5117.57
379,09/07/2006,SING,1111.92,1292.44
380,10/07/2006,SIC,3527.26,5561.6
381,10/07/2006,SING,1118.86,1235.59
382,11/07/2006,SIC,3825.75,5633.45
383,11/07/2006,SING,1094.56,1215.21
384,12/07/2006,SIC,3731.75,5533.61
385,12/07/2006,SING,1048.14,1170.8
386,13/07/2006,SIC,3776.5,5487.17
387,13/07/2006,SING,1093.22,1301.87
388,14/07/2006,SIC,3738.11,5526.36
389,14/07/2006,SING,1225.8,1376.6
390,15/07/2006,SIC,3837.86,5178.81
391,15/07/2006,SING,1203.21,1348.07
392,16/07/2006,SIC,3293.42,4934.94
393,16/07/2006,SING,1251.77,1434.09
394,17/07/2006,SIC,3481.92,5340.1
395,17/07/2006,SING,1334.76,1412.72
396,18/07/2006,SIC,3778.87,5277.83
397,18/07/2006,SING,1274.11,1408.48
398,19/07/2006,SIC,3783.84,5185.15
399,19/07/2006,SING,1250.61,1407.39
400,20/07/2006,SIC,3768.21,5160.16
401,20/07/2006,SING,1231.24,1370.4
402,21/07/2006,SIC,3798.16,5393.34
403,21/07/2006,SING,1182.38,1282.21
404,22/07/2006,SIC,3845.18,5160.73
405,22/07/2006,SING,1178.48,1289.66
406,23/07/2006,SIC,3351.34,4951.03
407,23/07/2006,SING,1169.91,1317.36
408,24/07/2006,SIC,3556.77,5525.29
409,24/07/2006,SING,1155.98,1260.92
410,25/07/2006,SIC,3890.64,5619.03
411,25/07/2006,SING,914.07,1225.75
412,26/07/2006,SIC,3786.3,5632.63
413,26/07/2006,SING,975.47,1133.68
414,27/07/2006,SIC,3720.06,5310.28
415,27/07/2006,SING,1198.85,1348.38
416,28/07/2006,SIC,3842.41,5425.56
417,28/07/2006,SING,1171.23,1292.73
418,29/07/2006,SIC,3813.2,5176.64
419,29/07/2006,SING,1162.24,1283.81
420,30/07/2006,SIC,3353.07,5050.04
421,30/07/2006,SING,1166.47,1280.35
422,31/07/2006,SING,1145.81,1265.58
423,01/08/2006,SIC,3801.88,5373.11
424,01/08/2006,SING,1451.84,1589.18
425,02/08/2006,SIC,3823.43,5462.24
426,02/08/2006,SING,1434.47,1584.93
427,03/08/2006,SIC,3793.68,5413.04
428,03/08/2006,SING,1408.88,1551.95
429,04/08/2006,SIC,3843.19,5339.68
430,04/08/2006,SING,1459.72,1546.66
431,05/08/2006,SIC,3914.85,5154.94
432,05/08/2006,SING,1430.17,1566.93
433,06/08/2006,SIC,3424.38,5139.48
434,06/08/2006,SING,1433.32,1522.94
435,07/08/2006,SIC,3607.58,5403.6
436,07/08/2006,SING,1354.37,1459.01
437,08/08/2006,SIC,3834.74,5674.79
438,08/08/2006,SING,1244.06,1384.78
439,09/08/2006,SIC,3797.84,5525.65
440,09/08/2006,SING,1241.05,1434.96
441,10/08/2006,SIC,3831.41,5600.69
442,10/08/2006,SING,1321.28,1433.6
443,11/08/2006,SIC,3786.77,5498.78
444,11/08/2006,SING,1339.76,1471.66
445,12/08/2006,SIC,3815.91,5216.24
446,12/08/2006,SING,1378.46,1477.58
447,13/08/2006,SIC,3445.91,5077.14
448,13/08/2006,SING,1361.43,1536.11
449,14/08/2006,SIC,3558.07,5279.82
450,14/08/2006,SING,1425.38,1523.82
451,15/08/2006,SIC,3577.14,5307.08
452,15/08/2006,SING,1387.35,1531.03
453,16/08/2006,SIC,3638.35,5458.83
454,16/08/2006,SING,1380.54,1498.34
455,17/08/2006,SIC,3856.49,5330.0
456,17/08/2006,SING,1349.91,1449.75
457,18/08/2006,SIC,3827.2,5367.48
458,18/08/2006,SING,1192.35,1344.27
459,19/08/2006,SIC,3851.13,5121.57
460,19/08/2006,SING,1257.22,1508.27
461,20/08/2006,SIC,3299.77,4983.15
462,20/08/2006,SING,1401.3,1560.12
463,21/08/2006,SIC,3572.19,5232.03
464,21/08/2006,SING,1414.62,1534.18
465,22/08/2006,SIC,3849.65,5178.66
466,22/08/2006,SING,1436.85,1509.36
467,23/08/2006,SIC,3853.85,5320.98
468,23/08/2006,SING,1390.89,1537.52
469,24/08/2006,SIC,3749.37,5363.33
470,24/08/2006,SING,1390.88,1568.72
471,25/08/2006,SIC,3774.87,5394.43
472,25/08/2006,SING,1420.41,1541.67
473,26/08/2006,SIC,3662.12,5086.75
474,26/08/2006,SING,1427.65,1568.61
475,27/08/2006,SIC,3242.29,4962.37
476,27/08/2006,SING,1431.7,1582.14
477,28/08/2006,SIC,3529.76,5226.55
478,28/08/2006,SING,1426.22,1539.59
479,29/08/2006,SIC,3792.69,5478.95
480,29/08/2006,SING,1452.24,1549.15
481,30/08/2006,SIC,3777.61,5493.75
482,30/08/2006,SING,1211.33,1482.75
483,31/08/2006,SIC,3825.94,5437.7
484,31/08/2006,SING,1397.25,1546.78
485,01/09/2006,SIC,3893.51,5334.93
486,01/09/2006,SING,1402.81,1512.01
487,02/09/2006,SIC,3859.54,5180.79
488,02/09/2006,SING,1419.2,1498.17
489,03/09/2006,SIC,3315.78,5007.3
490,03/09/2006,SING,1399.92,1563.31
491,04/09/2006,SIC,3585.84,5308.62
492,04/09/2006,SING,1262.36,1501.69
493,05/09/2006,SIC,3893.01,5293.0
494,05/09/2006,SING,1336.4,1465.81
495,06/09/2006,SIC,3860.92,5491.23
496,06/09/2006,SING,1147.75,1432.79
497,07/09/2006,SIC,3865.98,5325.43
498,07/09/2006,SING,1337.41,1483.39
499,08/09/2006,SIC,3859.27,5318.64
500,08/09/2006,SING,1385.17,1617.79
501,09/09/2006,SIC,3887.3,5170.84
502,09/09/2006,SING,1509.28,1630.71
503,10/09/2006,SIC,3297.73,5049.53
504,10/09/2006,SING,1475.94,1633.42
505,11/09/2006,SIC,3597.42,5442.3
506,11/09/2006,SING,1489.97,1583.22
507,12/09/2006,SIC,3686.14,5366.09
508,12/09/2006,SING,1460.39,1596.84
509,13/09/2006,SIC,3809.52,5294.44
510,13/09/2006,SING,1438.22,1576.61
511,14/09/2006,SIC,3869.39,5094.96
512,14/09/2006,SING,1483.5,1604.41
513,15/09/2006,SIC,3843.72,5170.95
514,15/09/2006,SING,1507.57,1607.07
515,16/09/2006,SIC,3736.76,5009.0
516,16/09/2006,SING,1498.09,1592.9
517,17/09/2006,SIC,3281.56,4625.85
518,17/09/2006,SING,1195.6,1577.66
519,18/09/2006,SIC,3077.14,4476.55
520,18/09/2006,SING,1258.28,1378.0
521,19/09/2006,SIC,3026.06,4700.24
522,19/09/2006,SING,1256.75,1400.5
523,20/09/2006,SIC,3383.14,5153.0
524,20/09/2006,SING,1309.49,1592.84
525,21/09/2006,SIC,3771.12,5253.78
526,21/09/2006,SING,1508.33,1674.65
527,22/09/2006,SIC,3785.69,5263.31
528,22/09/2006,SING,1528.4,1660.23
529,23/09/2006,SIC,3760.18,5052.59
530,23/09/2006,SING,1540.8,1652.83
531,24/09/2006,SIC,3232.73,4955.55
532,24/09/2006,SING,1515.74,1665.23
533,25/09/2006,SIC,3613.7,5223.52
534,25/09/2006,SING,1514.38,1648.35
535,26/09/2006,SIC,3917.21,5426.59
536,26/09/2006,SING,1515.31,1612.86
537,27/09/2006,SIC,3914.41,5259.22
538,27/09/2006,SING,1502.56,1598.15
539,28/09/2006,SIC,3847.07,5281.93
540,28/09/2006,SING,1490.36,1607.49
541,29/09/2006,SIC,3878.04,5281.62
542,29/09/2006,SING,1464.57,1629.8
543,30/09/2006,SIC,3873.01,5081.91
544,30/09/2006,SING,1517.61,1613.24
545,01/10/2006,SIC,3259.88,5012.19
546,01/10/2006,SING,1089.58,1300.14
547,02/10/2006,SIC,3537.23,5687.55
548,02/10/2006,SING,1080.14,1168.19
549,03/10/2006,SIC,3771.83,5781.99
550,03/10/2006,SING,1042.29,1157.76
551,04/10/2006,SIC,3739.85,5676.49
552,04/10/2006,SING,1001.07,1167.13
553,05/10/2006,SIC,3702.02,5662.18
554,05/10/2006,SING,1050.11,1119.66
555,06/10/2006,SIC,3656.31,5554.79
556,06/10/2006,SING,995.81,1148.29
557,07/10/2006,SIC,3637.5,5267.3
558,07/10/2006,SING,950.27,1152.26
559,08/10/2006,SIC,3199.31,4920.29
560,08/10/2006,SING,1076.85,1256.58
561,09/10/2006,SIC,3213.2,5160.75
562,09/10/2006,SING,1154.36,1278.76
563,10/10/2006,SIC,3531.84,5767.39
564,10/10/2006,SING,1126.94,1296.84
565,11/10/2006,SIC,3817.02,5865.89
566,11/10/2006,SING,1223.93,1347.33
567,12/10/2006,SIC,3803.38,5742.46
568,12/10/2006,SING,1057.65,1317.12
569,13/10/2006,SIC,3833.12,5797.38
570,13/10/2006,SING,1095.5,1179.9
571,14/10/2006,SIC,3645.19,5308.58
572,14/10/2006,SING,1120.68,1224.05
573,15/10/2006,SIC,3175.75,5059.7
574,15/10/2006,SING,1102.98,1208.02
575,16/10/2006,SIC,3547.57,5605.28
576,16/10/2006,SING,1116.35,1195.64
577,17/10/2006,SIC,3758.42,5661.72
578,17/10/2006,SING,1098.45,1174.15
579,18/10/2006,SIC,3734.24,5674.53
580,18/10/2006,SING,1037.99,1177.99
581,19/10/2006,SIC,3795.37,5730.08
